epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2527,0.35057,0.77206,3.37156,0.96464,0,0.48588,0.49856,0.51787,0.50475,0.48465,0.49279,0.51649,0.5039,0.24145,0.40516,2.09925,0.8413,0,5.71547e-05,5.71547e-05,5.71547e-05
2,194.744,0.32255,0.53606,2.12788,0.92536,0,0.54382,0.67357,0.68492,0.65,0.54083,0.66728,0.67429,0.66633,0.27008,0.28727,1.33742,0.86707,0,0.00011446,0.00011446,0.00011446
3,435.102,0.34082,0.57239,1.71004,0.93437,0,0.73316,0.69528,0.78553,0.75997,0.72993,0.68899,0.77775,0.76796,0.25837,0.34048,1.04672,0.85303,0,0.000171654,0.000171654,0.000171654
4,543.624,0.33123,0.56543,1.44509,0.93077,0,0.69917,0.73221,0.83044,0.80503,0.69648,0.72569,0.81893,0.81054,0.24616,0.34781,1.10525,0.84432,0,0.000171622,0.000171622,0.000171622
5,650.196,0.32789,0.54934,1.2673,0.93002,0,0.84113,0.76948,0.88808,0.86112,0.82286,0.7739,0.87767,0.86582,0.23629,0.35425,0.76532,0.83873,0,0.000171329,0.000171329,0.000171329
6,786.802,0.31888,0.51268,1.10058,0.92926,0,0.87933,0.82646,0.92067,0.89264,0.87632,0.82035,0.91026,0.89946,0.23779,0.28497,0.66959,0.8286,0,0.000170952,0.000170952,0.000170952
7,874.568,0.31229,0.53649,1.00814,0.9207,0,0.87536,0.84651,0.92862,0.90089,0.87218,0.84044,0.92032,0.90783,0.24193,0.30597,0.61815,0.8398,0,0.000170492,0.000170492,0.000170492
8,958.641,0.3028,0.50241,0.95415,0.91736,0,0.87511,0.84342,0.93005,0.9061,0.87135,0.83734,0.92382,0.91091,0.23679,0.29587,0.51937,0.84379,0,0.00016995,0.00016995,0.00016995
9,1045.11,0.30477,0.53792,0.91947,0.91947,0,0.91544,0.84982,0.94108,0.90771,0.90795,0.84622,0.93001,0.91589,0.22788,0.31962,0.49259,0.83517,0,0.000169325,0.000169325,0.000169325
10,1129.18,0.3017,0.47699,0.84444,0.91939,0,0.89825,0.87658,0.94623,0.91616,0.89277,0.87029,0.93802,0.92883,0.2381,0.27838,0.4688,0.83322,0,0.000168619,0.000168619,0.000168619
11,1213.12,0.29076,0.51601,0.80382,0.91527,0,0.88229,0.86443,0.94762,0.92632,0.87971,0.85814,0.94034,0.92528,0.19936,0.38587,0.47341,0.8097,0,0.000167833,0.000167833,0.000167833
12,1297.12,0.29077,0.4865,0.78707,0.91503,0,0.91144,0.88839,0.94421,0.91943,0.90769,0.8823,0.93493,0.92609,0.21113,0.26822,0.43976,0.826,0,0.000166967,0.000166967,0.000166967
13,1383.03,0.28982,0.49212,0.7841,0.91715,0,0.90839,0.86546,0.95122,0.92908,0.90311,0.85917,0.94382,0.93397,0.20065,0.27737,0.4531,0.8152,0,0.000166021,0.000166021,0.000166021
14,1467.25,0.28431,0.45522,0.74625,0.90917,0,0.91976,0.85949,0.9458,0.91606,0.91356,0.85339,0.9361,0.9245,0.21632,0.2698,0.43772,0.83036,0,0.000164998,0.000164998,0.000164998
15,1551.73,0.27606,0.45944,0.71534,0.90668,0,0.91475,0.89317,0.95569,0.92997,0.90981,0.88718,0.94528,0.93421,0.19287,0.24747,0.40452,0.80705,0,0.000163897,0.000163897,0.000163897
16,1636.39,0.27767,0.46407,0.71989,0.90524,0,0.92809,0.87366,0.95311,0.93088,0.92201,0.86751,0.9427,0.93412,0.1862,0.26938,0.37887,0.80739,0,0.00016272,0.00016272,0.00016272
17,1720.06,0.2726,0.45639,0.68548,0.90138,0,0.92111,0.86928,0.95226,0.92133,0.91627,0.86318,0.94227,0.93139,0.19851,0.2638,0.39918,0.81692,0,0.000161469,0.000161469,0.000161469
18,1806.17,0.27198,0.4508,0.67697,0.90179,0,0.9254,0.90528,0.96183,0.93857,0.92037,0.89911,0.95252,0.94549,0.19861,0.24729,0.34572,0.81872,0,0.000160144,0.000160144,0.000160144
19,1892.36,0.27167,0.44873,0.65414,0.90349,0,0.93137,0.90572,0.95721,0.93734,0.92551,0.89943,0.9497,0.94198,0.18046,0.24487,0.34856,0.80334,0,0.000158746,0.000158746,0.000158746
20,1978.58,0.26951,0.46684,0.63223,0.90625,0,0.92556,0.89449,0.95386,0.92958,0.91899,0.8896,0.94361,0.93239,0.18596,0.2875,0.35113,0.81157,0,0.000157278,0.000157278,0.000157278
21,2063.12,0.26352,0.42343,0.63071,0.8976,0,0.94384,0.91084,0.96764,0.94332,0.93727,0.90531,0.95772,0.94831,0.19274,0.25936,0.324,0.80666,0,0.00015574,0.00015574,0.00015574
