epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,245.09,0.19087,3.54843,0.22207,0.26084,0.27201,0.05761,0.05726,0.03846,2.37234,0.04847,5.72443e-05,5.72443e-05,5.72443e-05
2,467.965,0.06223,1.79103,0.06739,0.22407,0.67034,0.32334,0.32125,0.03668,1.39637,0.04571,0.000113879,0.000113879,0.000113879
3,691.405,0.06337,1.20818,0.06935,0.35437,0.75296,0.5569,0.55045,0.03675,1.01785,0.04518,0.000167746,0.000167746,0.000167746
4,914.56,0.05659,0.9691,0.06331,0.43537,0.79325,0.66773,0.66374,0.03738,0.81982,0.04665,0.00016272,0.00016272,0.00016272
5,1136.86,0.06239,0.80172,0.07123,0.59261,0.83623,0.81204,0.80106,0.03907,0.67495,0.04794,0.00015574,0.00015574,0.00015574
6,1360.81,0.05782,0.66889,0.06851,0.74296,0.80592,0.83106,0.82119,0.0377,0.58116,0.04681,0.000147063,0.000147063,0.000147063
7,1586.15,0.05382,0.58224,0.06291,0.78718,0.87441,0.88378,0.874,0.03524,0.48704,0.04494,0.000136904,0.000136904,0.000136904
8,1812.44,0.05962,0.47996,0.07088,0.82183,0.87021,0.9,0.88946,0.03749,0.4338,0.04742,0.000125513,0.000125513,0.000125513
9,2037.32,0.05672,0.42034,0.06453,0.85048,0.88575,0.92741,0.91574,0.03793,0.35923,0.05028,0.00011317,0.00011317,0.00011317
10,2261.28,0.05422,0.36829,0.06618,0.89584,0.90984,0.94402,0.93423,0.03824,0.30394,0.05086,0.000100179,0.000100179,0.000100179
11,2485.27,0.05704,0.29958,0.07611,0.90011,0.90829,0.95338,0.9434,0.03708,0.26596,0.05,8.686e-05,8.686e-05,8.686e-05
12,2709.6,0.05629,0.29357,0.06921,0.92502,0.91314,0.95893,0.94976,0.03708,0.23993,0.04943,7.35412e-05,7.35412e-05,7.35412e-05
13,2934.56,0.05878,0.25187,0.07266,0.93512,0.91496,0.96448,0.95476,0.03598,0.23302,0.04908,6.05503e-05,6.05503e-05,6.05503e-05
14,3158.92,0.05633,0.2301,0.07112,0.95163,0.92425,0.97225,0.96522,0.03515,0.20211,0.04873,4.82072e-05,4.82072e-05,4.82072e-05
15,3383.35,0.05515,0.20652,0.07171,0.95289,0.93282,0.97303,0.96521,0.0344,0.19473,0.04801,3.6816e-05,3.6816e-05,3.6816e-05
16,3605.74,0.05299,0.19171,0.07506,0.95356,0.92542,0.97251,0.96313,0.03483,0.19474,0.04848,2.66569e-05,2.66569e-05,2.66569e-05
17,3828.85,0.05307,0.19488,0.07061,0.95443,0.93566,0.97224,0.96486,0.0333,0.18593,0.04677,1.79803e-05,1.79803e-05,1.79803e-05
18,4052.12,0.05138,0.18133,0.0673,0.95192,0.9414,0.97346,0.96566,0.03317,0.18323,0.04655,1.09997e-05,1.09997e-05,1.09997e-05
19,4276.8,0.04884,0.17943,0.0605,0.95183,0.94077,0.97328,0.9661,0.03308,0.18487,0.04655,5.88705e-06,5.88705e-06,5.88705e-06
20,4501.59,0.05498,0.1826,0.06602,0.94598,0.94311,0.97293,0.96464,0.03305,0.18631,0.04593,2.76821e-06,2.76821e-06,2.76821e-06
