epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,127.197,0.33718,0.60676,0.86377,0.9131,0,0.97385,0.96687,0.98526,0.97349,0.9718,0.96489,0.98186,0.97407,0.12918,0.23295,0.17959,0.77069,0,5.71553e-05,5.71553e-05,5.71553e-05
2,249.631,0.32218,0.54637,0.75753,0.90701,0,0.96523,0.95922,0.98333,0.97276,0.9631,0.95723,0.97971,0.97232,0.13616,0.23552,0.19712,0.77199,0,0.000114469,0.000114469,0.000114469
3,369.064,0.32545,0.51836,0.78334,0.90265,0,0.96225,0.96251,0.98252,0.9707,0.96038,0.96045,0.97936,0.97098,0.14546,0.23635,0.21737,0.77832,0,0.000171705,0.000171705,0.000171705
4,487.922,0.33488,0.56043,0.76735,0.90823,0,0.95006,0.95795,0.98253,0.96905,0.94831,0.95601,0.97913,0.97018,0.15678,0.24345,0.23625,0.78081,0,0.000171738,0.000171738,0.000171738
5,606.771,0.32984,0.5153,0.76623,0.89931,0,0.96579,0.96316,0.98034,0.96686,0.9638,0.96111,0.97672,0.9699,0.16319,0.26091,0.21341,0.78564,0,0.000171534,0.000171534,0.000171534
6,725.721,0.32952,0.52583,0.76609,0.9022,0,0.97249,0.96846,0.98286,0.97114,0.97042,0.96649,0.98014,0.97098,0.14943,0.2476,0.21182,0.78499,0,0.000171272,0.000171272,0.000171272
7,844.804,0.3266,0.54225,0.72161,0.89797,0,0.96592,0.97079,0.98391,0.96939,0.96425,0.96874,0.98059,0.97251,0.16372,0.23488,0.20649,0.78594,0,0.000170952,0.000170952,0.000170952
8,963.757,0.32814,0.5419,0.73768,0.89911,0,0.96728,0.96176,0.98339,0.9698,0.96509,0.95994,0.97976,0.97131,0.15695,0.24584,0.20589,0.78502,0,0.000170574,0.000170574,0.000170574
9,1083.54,0.32481,0.52376,0.70891,0.89926,0,0.97027,0.96499,0.98471,0.97321,0.96811,0.96306,0.98109,0.9746,0.16111,0.24256,0.21255,0.78151,0,0.000170139,0.000170139,0.000170139
10,1203.23,0.32631,0.55577,0.70529,0.90195,0,0.95214,0.96668,0.98153,0.97058,0.95017,0.96463,0.97866,0.97117,0.15226,0.23501,0.20992,0.78036,0,0.000169648,0.000169648,0.000169648
11,1323.05,0.32529,0.50625,0.69415,0.90142,0,0.96467,0.96946,0.98266,0.97144,0.96277,0.9674,0.9804,0.97401,0.15351,0.24537,0.20564,0.78003,0,0.000169099,0.000169099,0.000169099
12,1443.67,0.32519,0.54105,0.69047,0.89755,0,0.96561,0.97243,0.98426,0.97161,0.96365,0.97038,0.98064,0.97085,0.15938,0.24588,0.19994,0.79181,0,0.000168494,0.000168494,0.000168494
13,1563.71,0.33492,0.55375,0.71081,0.9039,0,0.96515,0.96225,0.98219,0.96759,0.96321,0.96019,0.97857,0.96999,0.15647,0.25282,0.2187,0.7849,0,0.000167833,0.000167833,0.000167833
14,1682.93,0.3113,0.52372,0.65345,0.89095,0,0.9652,0.97428,0.98211,0.96842,0.96322,0.97222,0.97849,0.97091,0.15359,0.24177,0.20472,0.78449,0,0.000167116,0.000167116,0.000167116
15,1801.37,0.31841,0.51663,0.66657,0.89423,0,0.96713,0.96633,0.98361,0.9721,0.96514,0.96427,0.98089,0.97331,0.15866,0.25141,0.21076,0.78712,0,0.000166345,0.000166345,0.000166345
16,1920.72,0.31824,0.54295,0.65558,0.89789,0,0.9628,0.97415,0.98319,0.97323,0.96094,0.97209,0.98092,0.97322,0.14198,0.25438,0.18504,0.77604,0,0.000165519,0.000165519,0.000165519
