epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,266.946,0.26905,0.44225,0.477,0.8729,0,0.97864,0.97603,0.98442,0.97605,0.97652,0.97404,0.98148,0.97704,0.12569,0.22073,0.14665,0.76317,0,8.5911e-05,8.5911e-05,8.5911e-05
2,526.919,0.28986,0.48692,0.5385,0.88156,0,0.97411,0.98045,0.98574,0.97644,0.9721,0.97839,0.98212,0.97826,0.13078,0.21966,0.15235,0.76795,0,0.000171845,0.000171845,0.000171845
3,785.591,0.30043,0.50086,0.57125,0.88791,0,0.96422,0.97393,0.98679,0.97597,0.96224,0.97187,0.98317,0.97452,0.13873,0.23086,0.17901,0.77303,0,0.000171738,0.000171738,0.000171738
4,1043.67,0.3015,0.4938,0.56327,0.88897,0,0.97211,0.97588,0.98433,0.97373,0.9701,0.97382,0.98116,0.97607,0.13568,0.24703,0.18018,0.76936,0,0.00017141,0.00017141,0.00017141
5,1301.78,0.30287,0.50572,0.56962,0.88916,0,0.96671,0.97436,0.98315,0.97223,0.96474,0.97231,0.97929,0.97301,0.13676,0.23684,0.17456,0.77244,0,0.000170952,0.000170952,0.000170952
6,1559.42,0.30276,0.50933,0.55837,0.88374,0,0.97437,0.97625,0.98585,0.97665,0.97234,0.97471,0.98321,0.97839,0.13398,0.22038,0.1593,0.76788,0,0.000170364,0.000170364,0.000170364
7,1817.36,0.30236,0.50461,0.56182,0.8886,0,0.9735,0.97921,0.98543,0.9761,0.97148,0.97716,0.98259,0.97409,0.13846,0.24787,0.16702,0.76871,0,0.000169648,0.000169648,0.000169648
8,2075.54,0.30343,0.49388,0.55031,0.89014,0,0.97377,0.98121,0.98511,0.97581,0.97175,0.97915,0.98217,0.97585,0.13745,0.23668,0.16461,0.77474,0,0.000168803,0.000168803,0.000168803
9,2333.88,0.30473,0.50359,0.55257,0.89097,0,0.97346,0.9788,0.98407,0.97532,0.97144,0.97675,0.98135,0.97577,0.12945,0.22339,0.16398,0.76947,0,0.000167833,0.000167833,0.000167833
10,2593.09,0.30723,0.52727,0.56184,0.8934,0,0.96252,0.98229,0.98443,0.97278,0.96058,0.98023,0.98057,0.97491,0.13514,0.24141,0.17471,0.77113,0,0.000166738,0.000166738,0.000166738
11,2852.6,0.29511,0.49901,0.53253,0.88768,0,0.97041,0.97744,0.98259,0.97351,0.96638,0.97731,0.9806,0.97468,0.13811,0.24128,0.17116,0.77377,0,0.000165519,0.000165519,0.000165519
12,3112.19,0.3001,0.50784,0.53655,0.89075,0,0.97173,0.98076,0.98423,0.97651,0.96972,0.9787,0.98061,0.97374,0.13332,0.23518,0.16632,0.77053,0,0.000164179,0.000164179,0.000164179
13,3371.44,0.29555,0.48643,0.52203,0.88794,0,0.9618,0.98255,0.98391,0.97466,0.95987,0.98049,0.98029,0.97336,0.13274,0.23455,0.17106,0.77277,0,0.00016272,0.00016272,0.00016272
14,3633.48,0.29606,0.48382,0.52614,0.88471,0,0.97907,0.98133,0.98543,0.97685,0.97707,0.97927,0.98157,0.97717,0.13065,0.23243,0.15631,0.76556,0,0.000161144,0.000161144,0.000161144
15,3892.9,0.29779,0.49515,0.52213,0.88973,0,0.97368,0.98201,0.98398,0.97612,0.97159,0.98006,0.98059,0.97586,0.12223,0.23153,0.15421,0.76392,0,0.000159454,0.000159454,0.000159454
16,4153.25,0.2937,0.4901,0.52414,0.8826,0,0.97522,0.98241,0.98346,0.97726,0.97319,0.98035,0.98097,0.97631,0.13103,0.23427,0.16777,0.76845,0,0.000157651,0.000157651,0.000157651
17,4413.18,0.29219,0.47144,0.50552,0.88314,0,0.9748,0.98447,0.98475,0.9753,0.97279,0.98241,0.98113,0.97521,0.12671,0.23511,0.15558,0.76942,0,0.00015574,0.00015574,0.00015574
18,4673.79,0.29281,0.48149,0.50375,0.88544,0,0.97822,0.98102,0.98447,0.97631,0.97727,0.98009,0.98074,0.97575,0.1228,0.23842,0.15213,0.76375,0,0.000153722,0.000153722,0.000153722
19,4934.01,0.28916,0.47055,0.49771,0.88266,0,0.9677,0.98362,0.98523,0.97841,0.9657,0.98156,0.98206,0.97608,0.12229,0.23374,0.14465,0.76553,0,0.000151601,0.000151601,0.000151601
20,5194.38,0.28925,0.4749,0.49601,0.88175,0,0.97794,0.98102,0.98668,0.97857,0.97594,0.97896,0.98397,0.97921,0.12017,0.22638,0.14733,0.76613,0,0.00014938,0.00014938,0.00014938
21,5455.15,0.28693,0.46959,0.48522,0.88102,0,0.97413,0.98064,0.98412,0.97449,0.97214,0.97859,0.98096,0.97695,0.12423,0.23181,0.14924,0.76523,0,0.000147063,0.000147063,0.000147063
22,5715.71,0.28789,0.46755,0.48281,0.87971,0,0.97877,0.98305,0.98266,0.97287,0.97676,0.98099,0.9788,0.97359,0.12017,0.2211,0.1465,0.76077,0,0.000144653,0.000144653,0.000144653
23,5976.18,0.28421,0.4616,0.47172,0.88169,0,0.97366,0.97997,0.98425,0.97575,0.97165,0.97792,0.98085,0.97623,0.11936,0.22038,0.15019,0.76365,0,0.000142154,0.000142154,0.000142154
24,6237.13,0.28782,0.47786,0.47983,0.88199,0,0.97868,0.98283,0.98621,0.97867,0.97667,0.98077,0.9835,0.97908,0.11866,0.22945,0.14275,0.76367,0,0.00013957,0.00013957,0.00013957
25,6498.3,0.28511,0.46522,0.47793,0.88027,0,0.97524,0.9851,0.98597,0.97699,0.97324,0.98304,0.98212,0.97703,0.11986,0.23101,0.14461,0.76431,0,0.000136904,0.000136904,0.000136904
26,6759.21,0.28113,0.46538,0.47834,0.88023,0,0.97545,0.9843,0.98467,0.97725,0.97327,0.98224,0.98105,0.97703,0.11656,0.22459,0.14434,0.761,0,0.000134161,0.000134161,0.000134161
27,7020.4,0.28606,0.45634,0.47577,0.88346,0,0.9741,0.98393,0.98514,0.97756,0.97212,0.98196,0.98151,0.97823,0.11419,0.22526,0.13259,0.76023,0,0.000131346,0.000131346,0.000131346
28,7282,0.2818,0.46379,0.46176,0.87979,0,0.97609,0.9802,0.9859,0.97913,0.97408,0.97821,0.9825,0.97752,0.1143,0.22844,0.1403,0.75993,0,0.000128461,0.000128461,0.000128461
29,7543.65,0.27592,0.44408,0.44631,0.87662,0,0.97328,0.97901,0.98555,0.97757,0.97126,0.97695,0.98216,0.9767,0.11933,0.2287,0.14493,0.76665,0,0.000125513,0.000125513,0.000125513
30,7805,0.28145,0.44998,0.45724,0.88214,0,0.97337,0.98174,0.98624,0.97694,0.97136,0.97968,0.98238,0.97854,0.11616,0.22197,0.13633,0.76418,0,0.000122505,0.000122505,0.000122505
31,8065.73,0.27762,0.45592,0.44323,0.8789,0,0.97205,0.98643,0.98478,0.97624,0.97021,0.98437,0.98161,0.97555,0.11554,0.21949,0.14133,0.76261,0,0.000119442,0.000119442,0.000119442
32,8327.08,0.27903,0.46443,0.44357,0.88012,0,0.97602,0.9788,0.98595,0.97784,0.97405,0.9768,0.98233,0.97831,0.11235,0.22057,0.13797,0.76165,0,0.000116328,0.000116328,0.000116328
33,8588.7,0.27346,0.44083,0.43884,0.87753,0,0.97789,0.98115,0.98581,0.97746,0.97579,0.97922,0.98242,0.97833,0.11101,0.22799,0.12874,0.75912,0,0.00011317,0.00011317,0.00011317
34,8849.87,0.27739,0.44252,0.4404,0.8785,0,0.97776,0.98412,0.98363,0.97688,0.97575,0.98206,0.98009,0.97585,0.10811,0.22721,0.13177,0.75997,0,0.00010997,0.00010997,0.00010997
35,9111.31,0.27223,0.42997,0.42652,0.87538,0,0.97587,0.98241,0.98561,0.97761,0.97379,0.9805,0.98199,0.97785,0.11049,0.2339,0.13252,0.75983,0,0.000106736,0.000106736,0.000106736
36,9372.65,0.26815,0.43784,0.42269,0.87354,0,0.97484,0.98533,0.98633,0.97853,0.97275,0.98332,0.98293,0.97904,0.11295,0.22938,0.12937,0.76168,0,0.00010347,0.00010347,0.00010347
37,9634.8,0.27011,0.42914,0.42736,0.87179,0,0.98064,0.98346,0.98679,0.97844,0.97861,0.98141,0.98385,0.97995,0.1112,0.22775,0.13123,0.76076,0,0.000100179,0.000100179,0.000100179
38,9896.31,0.26959,0.42273,0.41039,0.87132,0,0.97722,0.98408,0.98501,0.97694,0.97521,0.98202,0.98184,0.97802,0.10854,0.22627,0.12944,0.75937,0,9.68671e-05,9.68671e-05,9.68671e-05
39,10158,0.26742,0.42514,0.41226,0.8734,0,0.97724,0.9852,0.9857,0.9774,0.97514,0.98321,0.98184,0.97797,0.10848,0.22662,0.12318,0.75903,0,9.354e-05,9.354e-05,9.354e-05
