epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,551.188,0.40749,0.78249,2.89908,0.9592,0,0.43862,0.73336,0.65023,0.63384,0.43779,0.72987,0.64628,0.64007,0.20762,0.29463,1.47216,0.85318,0,0.00599379,0.00199793,0.00599379,0.00199793,0.00599379,0.00199793,0.00599379,0.00199793
2,1053.84,0.40384,0.67442,1.75274,0.935,0,0.79527,0.80887,0.89265,0.87185,0.79312,0.80681,0.88822,0.87729,0.20487,0.29375,0.77189,0.81771,0,0.0119925,0.0039975,0.0119925,0.0039975,0.0119925,0.0039975,0.0119925,0.0039975
3,1537.04,0.43869,0.71258,1.51126,0.94762,0,0.76954,0.83947,0.88934,0.87051,0.76851,0.83741,0.88501,0.87512,0.22039,0.30191,0.87415,0.81173,0,0.017986,0.00599533,0.017986,0.00599533,0.017986,0.00599533,0.017986,0.00599533
4,2005.27,0.47133,0.74977,1.43274,0.95905,0,0.85018,0.83013,0.921,0.90068,0.84806,0.82807,0.91703,0.90254,0.2252,0.36676,0.63972,0.80334,0,0.0239704,0.00799012,0.0239704,0.00799012,0.0239704,0.00799012,0.0239704,0.00799012
5,2468.54,0.50321,0.81649,1.44187,0.97125,0,0.89427,0.83932,0.93343,0.91049,0.89249,0.83726,0.92946,0.91232,0.23869,0.34247,0.58754,0.8163,0,0.0299417,0.00998057,0.0299417,0.00998057,0.0299417,0.00998057,0.0299417,0.00998057
6,2927.33,0.50703,0.84983,1.3828,0.97246,0,0.90411,0.90879,0.96441,0.9442,0.90217,0.90674,0.96147,0.93919,0.22931,0.35342,0.46911,0.81299,0,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,3389.74,0.47471,0.80902,1.25519,0.96566,0,0.91023,0.93568,0.96339,0.9479,0.90805,0.93363,0.95994,0.94413,0.20418,0.33374,0.41901,0.79904,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,3853.6,0.45323,0.76556,1.13246,0.95487,0,0.93438,0.94717,0.97488,0.95943,0.93241,0.94511,0.97042,0.95822,0.19478,0.28588,0.46092,0.78407,0,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,4314.55,0.44104,0.75018,1.06373,0.95185,0,0.9396,0.95552,0.97737,0.96271,0.93764,0.95346,0.97374,0.96203,0.18533,0.27971,0.31218,0.78407,0,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,4779.43,0.43377,0.76774,1.03325,0.94946,0,0.95108,0.95565,0.97858,0.96732,0.94893,0.95359,0.9754,0.96464,0.17679,0.27801,0.28154,0.7817,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,5244.62,0.41061,0.70668,0.95603,0.93881,0,0.95628,0.95043,0.98032,0.96418,0.95428,0.94837,0.97672,0.96094,0.18304,0.2788,0.28364,0.79028,0,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,5712.47,0.40847,0.71055,0.93708,0.93836,0,0.94334,0.97049,0.98074,0.96905,0.94136,0.96843,0.97823,0.96712,0.17464,0.26396,0.26161,0.78165,0,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,6177.77,0.39651,0.67787,0.8777,0.93249,0,0.95125,0.96797,0.97837,0.9647,0.9493,0.96591,0.97517,0.96336,0.17476,0.26962,0.26868,0.78738,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
