epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,175.579,0.58095,2.09316,0.42621,0.0728,0.42628,0.03249,0.02648,0.18182,2.69233,0.21601,5.71553e-05,5.71553e-05,5.71553e-05
2,331.836,0.38728,1.42671,0.26803,0.25565,0.63939,0.36909,0.32214,0.15845,1.40007,0.19184,0.000114469,0.000114469,0.000114469
3,488.739,0.35254,1.05071,0.23807,0.43044,0.73576,0.6115,0.5122,0.18559,1.01909,0.23043,0.000171705,0.000171705,0.000171705
4,645.069,0.32649,0.91772,0.22861,0.50806,0.79749,0.70879,0.63949,0.13766,0.9462,0.16896,0.000171738,0.000171738,0.000171738
5,801.637,0.31091,0.83148,0.21463,0.67327,0.81982,0.80424,0.74378,0.11676,0.71455,0.14165,0.000171534,0.000171534,0.000171534
6,958.484,0.293,0.74713,0.20403,0.75081,0.8378,0.87888,0.80247,0.12575,0.63132,0.16612,0.000171272,0.000171272,0.000171272
7,1114.98,0.29049,0.69838,0.19661,0.75986,0.8828,0.89222,0.78888,0.16029,0.58716,0.21483,0.000170952,0.000170952,0.000170952
8,1270.8,0.28439,0.64496,0.18638,0.82706,0.90252,0.93271,0.86042,0.11713,0.48356,0.15414,0.000170574,0.000170574,0.000170574
9,1427.26,0.27612,0.61953,0.19396,0.87791,0.88691,0.94356,0.84466,0.14119,0.48304,0.19599,0.000170139,0.000170139,0.000170139
10,1582.92,0.27256,0.5846,0.19117,0.90406,0.92196,0.9616,0.89628,0.10969,0.38128,0.13994,0.000169648,0.000169648,0.000169648
11,1739.91,0.26543,0.56074,0.18319,0.92169,0.92018,0.96701,0.89527,0.11512,0.37146,0.14885,0.000169099,0.000169099,0.000169099
12,1895.77,0.26108,0.53826,0.18087,0.91875,0.94235,0.97098,0.884,0.1293,0.38052,0.16828,0.000168494,0.000168494,0.000168494
